Date; Open; High; Low; Close; Volume
02/06/2022;7625;7675;7525;7575;1492262970
03/06/2022;7600;7675;7575;7600;805631020
06/06/2022;7550;7575;7425;7450;811403050
07/06/2022;7300;7475;7300;7375;1292424920
08/06/2022;7500;7600;7425;7600;1089104920
09/06/2022;7500;7575;7500;7500;1078283050
10/06/2022;7400;7450;7350;7350;1117686020
13/06/2022;7300;7400;7275;7350;855395080
14/06/2022;7300;7400;7250;7400;808651020
15/06/2022;7300;7375;7300;7325;1303671020
16/06/2022;7400;7600;7375;7575;1326662970
17/06/2022;7425;7550;7425;7500;1178393980
20/06/2022;7600;7650;7500;7625;881387030
21/06/2022;7600;7650;7550;7650;442956990
22/06/2022;7625;7650;7500;7500;530418010
23/06/2022;7450;7575;7450;7525;604430000
24/06/2022;7600;7600;7475;7475;579566020
27/06/2022;7475;7500;7350;7350;779367970
28/06/2022;7300;7400;7300;7300;1192184920
29/06/2022;7325;7400;7275;7275;753152030
30/06/2022;7300;7400;7250;7250;1013439060
01/07/2022;7300;7325;7250;7250;687387970
04/07/2022;7250;7275;7000;7050;1022386020
05/07/2022;7100;7325;7100;7250;691728980
06/07/2022;7300;7325;7175;7300;668011020
07/07/2022;7225;7250;7100;7100;861267970
08/07/2022;7125;7175;7075;7150;643123980
11/07/2022;7200;7200;7125;7125;368308010
12/07/2022;7175;7250;7150;7175;342690000
13/07/2022;7100;7125;7000;7000;719882030
14/07/2022;7025;7100;7000;7025;833163050
15/07/2022;7100;7100;7000;7000;574198980
18/07/2022;7025;7150;7025;7150;600776990
19/07/2022;7100;7175;7100;7175;596410000
20/07/2022;7200;7400;7175;7400;1057928980
21/07/2022;7400;7400;7250;7400;643371020
22/07/2022;7400;7400;7300;7325;389565000
25/07/2022;7350;7375;7300;7300;312476000
26/07/2022;7250;7375;7250;7300;443798980
27/07/2022;7325;7350;7275;7325;584655000
28/07/2022;7375;7450;7325;7350;869096950
29/07/2022;7400;7475;7350;7350;1315530000
01/08/2022;7350;7500;7350;7500;1048416020
02/08/2022;7600;7625;7500;7600;1064695080
03/08/2022;7625;7625;7575;7625;651021990
04/08/2022;7675;7800;7650;7800;1441025000
05/08/2022;7825;7875;7725;7875;1187342030
08/08/2022;7875;7925;7750;7875;843288980
09/08/2022;7875;7975;7875;7900;928757970
10/08/2022;7800;7900;7725;7900;1043763050
11/08/2022;7850;7950;7825;7950;732047030
12/08/2022;7925;7975;7850;7925;610831020
15/08/2022;7950;7975;7900;7950;814110000
16/08/2022;7950;7975;7850;7975;835567030
